service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20171105WKD,1,1,1,1,1,0,0,20171105,20181231
A20171105SAT,0,0,0,0,0,1,0,20171105,20181231
A20171105SUN,0,0,0,0,0,0,1,20171105,20181231
B20171105WKD,1,1,1,1,1,0,0,20171105,20181231
B20171105SAT,0,0,0,0,0,1,0,20171105,20181231
B20171105SUN,0,0,0,0,0,0,1,20171105,20181231
R20171105WKD,1,1,1,1,1,0,0,20171105,20181231
R20171105SAT,0,0,0,0,0,1,0,20171105,20181231
R20171105SUN,0,0,0,0,0,0,1,20171105,20181231
S20171105MON,1,0,0,0,0,0,0,20171105,20181231
