service_id,date,exception_type
A20171105WKD,20171123,2
A20171105SUN,20171123,1
A20171105WKD,20171225,2
A20171105SUN,20171225,1
A20171105WKD,20180101,2
A20171105SUN,20180101,1
A20171105WKD,20180219,2
A20171105SAT,20180219,1
A20171105WKD,20180528,2
A20171105SUN,20180528,1
B20171105WKD,20171123,2
B20171105SUN,20171123,1
B20171105WKD,20171225,2
B20171105SUN,20171225,1
B20171105WKD,20180101,2
B20171105SUN,20180101,1
B20171105WKD,20180219,2
B20171105SAT,20180219,1
B20171105WKD,20180528,2
B20171105SUN,20180528,1
R20171105WKD,20171123,2
R20171105SUN,20171123,1
R20171105WKD,20171225,2
R20171105SUN,20171225,1
R20171105WKD,20180101,2
R20171105SUN,20180101,1
R20171105WKD,20180219,2
R20171105SAT,20180219,1
R20171105WKD,20180528,2
R20171105SUN,20180528,1
