route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GS,A20171105SAT,A20171105SAT_036000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_036400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_037000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_037400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_038000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_038400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_039000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_039400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_040000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_040400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_041000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_041400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_042000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_042400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_043000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_043400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_044000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_044400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_045000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_045400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_046000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_046400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_047000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_047400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_048000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_048400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_049000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_049400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_050000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_050400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
